video_id,title,published_at,views,likes,comments
9bTprsGoioU,🚨 FAKE ARTICLES : Trump Vs India | Madan Gowri | MG Squad 🖖🏻,2025-08-09T07:12:20Z,33004,1727,15
s9lumUGT4vA,🚨 BRICS VS Trump 😱,2025-08-09T05:06:00Z,178976,8236,20
d3yeir5_lsU,🚨 BRICS Vs Trump 😱 What happens next !? | Madan Gowri | MG Squad 🖖🏻,2025-08-08T16:22:01Z,454732,17366,1136
RB4p7cjgrUE,🚨 INDIA’s BIG WIN ! 😱💪🏼 Support from CHINA & RUSSIA! | Madan Gowri | MG Squad 🖖🏻,2025-08-08T05:06:00Z,775301,32041,77
9Pg2F1GQwK8,🚨 INDIA’s BIG WIN ! 😱💪🏼 Support from CHINA & RUSSIA! | Madan Gowri | MG Squad 🖖🏻,2025-08-07T15:26:45Z,760833,27995,2228
YGdybHJIN68,Trump’s 50% Tariffs 🚨 MODI VS TRUMP BEGINS !? 😱,2025-08-07T05:06:00Z,379323,14147,47
z_S5DTdNayE,🚨 Trump’s 50% Tariffs on India ?! 😱 INDIA’S BOLD MOVE | Madan Gowri | MG Squad 🖖🏻,2025-08-06T15:56:03Z,804985,29295,2913
vcdEPZSbpAA,🚨INDIA’s STRONG REPLY to Trump !😱 | Madan Gowri | MG Squad 🖖🏻,2025-08-06T05:06:00Z,594611,25565,53
4nLL7YVsDh4,🚨INDIA’s STRONG REPLY to Trump !😱 | Madan Gowri | MG Squad 🖖🏻,2025-08-05T11:06:00Z,932307,30556,2483
1KVq7_498OU,Trump's Next Target : INDIA ?! 😱 | Madan Gowri | MG Squad 🖖🏻,2025-08-05T05:06:00Z,241699,8114,27
WJmeFBu21ck,🚨Trump’s Next Target : INDIA ?! 🎯😱 | Modi Vs Trump | Madan Gowri | MG Squad 🖖🏻,2025-08-04T16:22:03Z,478825,17611,1362
Yp91F150T94,Russia's Angry Reply? 😨 | Madan Gowri | MG Squad 🖖🏻,2025-08-04T05:06:00Z,519040,18409,63
txfLSxH-nJU,🚨 Russia's Angry Reply 😱 TRUMP VS PUTIN | Madan Gowri | MG Squad 🖖🏻,2025-08-03T10:36:06Z,562887,20210,4039
RrM_lQM-wC4,Russia vs America!😳 What’s Happening? | Madan Gowri | MG Squad 🖖🏻,2025-08-03T05:06:00Z,994564,37319,55
Mb3WhBFAyBw,🚨🇷🇺Russia vs 🇺🇸America !😳 What’s Happening? | Madan Gowri | MG Squad 🖖🏻,2025-08-02T11:06:00Z,550007,19642,1910
akhx6sqM_jA,INDIA RESPONSE! 😱 Trump 25% Tariff | Madan Gowri | MG Squad 🖖🏻,2025-08-02T05:06:00Z,1236034,40923,154
Y1kIWCHh-mU,INDIA RESPONDS ! 😱 Trump’s 25% Tariffs | Madan Gowri | MG Squad 🖖🏻,2025-08-01T15:22:02Z,568342,19300,3886
p6gq3iDRxVs,India GAME OVER! 😨 | Madan Gowri | MG Squad 🖖🏻,2025-08-01T05:06:00Z,907554,30059,94
sjTWkf34P-0,🚨 25% Trump Tariffs Tax : India GAME OVER? 😰 | Madan Gowri | MG Squad 🖖🏻,2025-07-31T15:22:00Z,553550,15419,2244
9v6cCkS-sjs,2025 Big Predictions happening 😱 | Madan Gowri | MG Squad 🖖🏻,2025-07-31T05:06:00Z,358455,8635,35
H0S05Tm0nY8,🌊 Russia - Japan 🌋 2025 Big Predictions happening 😱 | Madan Gowri | MG Squad 🖖🏻,2025-07-30T15:53:00Z,557280,18098,723
O7mzhAWk-OQ,Pakistan sent 1000 Missiles! 😱 | Madan Gowri | MG Squad 🖖🏻,2025-07-30T05:06:00Z,428738,18165,63
pPfhPHxsT8g,Pakistan 🇵🇰 sent 1000 Missiles to 🇮🇳 India - 🤯 Modi vs Rahul | Madan Gowri | MG Squad 🖖🏻,2025-07-29T16:26:03Z,433326,13601,1402
L02dCvDA0k0,🛑 STOP THIS! | TCS Kavin Chennai ONE | Madan Gowri | MG Squad 🖖🏻,2025-07-29T05:06:01Z,2119425,42511,196
