video_id,title,published_at,duration,views,likes,comments,duration_s,title_len,days_since_publish
iiFeTSSDay4,Scientist-ஏ Shock ஆகிட்டாரு😲 | Car Series | Ep - 03 | Vj SIddhu Vlogs,2025-08-08 09:45:07+00:00,PT22M,1285955,87712,1212,1320.0,69,1
hfzo5nvkiEM,சேட்டைக்கு சேதாரம் ஆகிப்போச்சு 😂🤕| Car Series  | Ep - 02 | VJ Siddhu Vlogs,2025-08-06 09:30:07+00:00,PT15M,1765012,110805,647,900.0,74,3
Gjv3jItyEuA,நமக்குள்ள என்னடா Personal இருக்கு❤️‍🔥🫂  | Car Series  | Ep - 01 | VJ Siddhu Vlogs,2025-08-03 04:30:07+00:00,PT17M26S,2126525,130878,1015,1046.0,81,6
nXgF4zA4oNs,Game-க்கு Ready-யா Friends 🎮🔥 | Vj Siddhu Vlogs,2025-08-01 09:30:18+00:00,PT17M15S,1889891,110024,838,1035.0,47,8
q2kiw19EWOk,China Series Deleted Scenes 🎬📸 | Vj Siddhu Vlogs,2025-07-30 09:30:07+00:00,PT13M9S,1564983,89858,1347,789.0,48,10
OHL1wjAqYPo,Bangalore Series Re-release Full Movie 🔥 | 4K | Vj Siddhu Vlogs,2025-07-28 09:30:07+00:00,PT1H37M22S,737688,30359,320,5842.0,63,12
JPf-7pMEJAM,தேவையில்லாம போய் மாட்டிக்கிட்டோம் 😱🤕 | China Series | Ep - 16 | Vj Siddhu Vlogs,2025-07-27 04:30:08+00:00,PT20M58S,2525605,157160,1943,1258.0,79,13
u6kQOZDpcvs,மலை உச்சில மரண பீதியாகிருச்சு😱⚠️ | China Series | Ep - 15 | Vj Siddhu Vlogs,2025-07-25 09:59:11+00:00,PT19M42S,2175045,123865,1419,1182.0,75,14
kWJs1aVU3hA,China-க்காரன் அடங்கமாட்டுறான் யா🤯😱  | China Series | Ep - 14 | Vj Siddhu Vlogs,2025-07-23 09:30:07+00:00,PT25M30S,2168223,124145,1555,1530.0,78,17
K9LQQIA-D9M,Bali Series Re-release Full Movie 🔥 | 4K | Vj Siddhu Vlogs,2025-07-21 09:30:07+00:00,PT3H17M59S,654332,24342,218,11879.0,58,19
Rwl6604OF7o,என்னடா இது RCB-க்கு வந்த சோதனை💔 😓 | China Series | Ep -13 | Vj Siddhu Vlogs,2025-07-20 04:30:07+00:00,PT18M52S,1772454,115178,970,1132.0,75,20
PIzqLXUR2xw,Karma is a Boomerang Raa 🔁💥 | China Series | Ep -12 | Vj Siddhu Vlogs,2025-07-18 09:44:23+00:00,PT19M16S,2051398,111962,736,1156.0,69,22
cKbeJx3xpgc,"22வது மாடி, Bus-ல ஏறி போடி 💃😂 | China Series | Ep -11 | Vj Siddhu Vlogs",2025-07-16 09:45:07+00:00,PT22M35S,2210312,124897,1655,1355.0,71,24
Gen__j6J_x8,Japan Series Re-release Full Movie 🔥 | 4K | Vj siddhu vlogs,2025-07-14 10:15:45+00:00,PT3H49M49S,649136,23221,246,13789.0,59,25
yyCsu3O4f1E,என்னடா 1800rs-க்கு Iphone விக்குறீங்க😳📱💸 | China Series | Ep -10 | Vj Siddhu Vlogs,2025-07-13 04:30:07+00:00,PT14M56S,2247902,117037,1098,896.0,82,27
wtlKyhY1vWs,Red Colour-ல Panda இருக்கா🐼🤩 | China Series | Ep - 09 | Vj Siddhu Vlogs,2025-07-11 09:50:34+00:00,PT27M5S,2432009,129980,990,1625.0,71,29
40RXHPxgQ1w,100% Goosebumps Guaranteed😱✨ | China Series | Ep - 08 | Vj Siddhu Vlogs,2025-07-09 09:52:08+00:00,PT20M42S,2179419,130076,1445,1242.0,71,31
1qq_3fEZ1pc,Goa Series Re-release Full Movie 🔥 | 4K | Vj siddhu vlogs,2025-07-07 09:30:07+00:00,PT4H20M19S,858775,28880,282,15619.0,57,33
xb8CGOfKSIw,Train-ன்னு Flight Speed-ல போகுது 🔥✈️🚄 | China Series | Ep - 07 | Vj Siddhu Vlogs,2025-07-06 04:30:08+00:00,PT17M43S,2738308,141509,1514,1063.0,80,34
41lgW1YuUyI,ஏங்க😊🥰...நான் தான்-ங்க உங்க பொண்டாட்டி🤭 | China Series | Ep - 06 | Vj Siddhu Vlogs,2025-07-04 09:30:07+00:00,PT24M50S,2545455,136540,1484,1490.0,82,36
1Ldqo7TpaMw,Chinese எல்லாரும் எப்படி Young-ஆ இருக்காங்க 🤯🧘‍♂🍵 | China Series | Ep - 05 | Vj Siddhu Vlogs,2025-07-02 09:30:07+00:00,PT21M16S,2460253,136648,1675,1276.0,92,38
W1FXd-JCXBs,Iniyan Series Re-release Full Movie 🔥 | 4K | Vj siddhu vlogs,2025-06-30 09:30:07+00:00,PT1H16M14S,611740,28601,280,4574.0,60,40
uPEMBwt1AkI,China-ல Robot வாங்கப்போறோம்🤖🔥 | China Series | Ep - 04 | Vj Siddhu Vlogs,2025-06-29 04:30:07+00:00,PT30M55S,2901051,148472,968,1855.0,72,41
RW9JvKTjoY8,வாத்து  கறி சாப்பிட போறோம் 🤤🔥 | China Series | Ep-03 | Vj Siddhu Vlogs,2025-06-27 10:04:35+00:00,PT17M58S,2630596,173772,2487,1078.0,70,42
bTS_Vj5cUXQ,China வந்துட்டோம் 💥😍l China Series | Ep-02 | Vj Siddhu Vlogs,2025-06-25 09:30:07+00:00,PT17M57S,2687211,149222,1214,1077.0,60,45
KNSyz7eX3eI,CCTV Series Re-release Full Movie 🔥 | 4K | Vj Siddhu Vlogs,2025-06-23 09:30:07+00:00,PT1H10M55S,1491962,59407,547,4255.0,58,47
JyvCpn8hE4I,கடைசி நேரத்துல தான் காரப்பொறி வேணுமா 🌶⏰🍿| China Series | Ep-01 | Vj Siddhu Vlogs,2025-06-22 04:30:07+00:00,PT15M35S,2579951,148035,797,935.0,80,48
ehD304boTLY,இப்படியொரு Bhai Friend தேவையா🧑‍🤝‍🧑🤔? | Vj Siddhu Vlogs,2025-06-20 09:30:07+00:00,PT24M19S,2556495,160123,1589,1459.0,54,50
VUBmvOHGre8,College Days-க்கே திரும்ப போய்ட்டோம்🤩😎 | Vj Siddhu Vlogs,2025-06-18 09:40:08+00:00,PT14M31S,1967702,152071,1124,871.0,56,52
Et15x3Gvw0E,Bike Trip Series Re-release Full Movie 🔥 | 4K | Vj Siddhu Vlogs,2025-06-16 12:31:33+00:00,PT3H10M39S,1335822,51034,521,11439.0,63,53
TrJq39uhFEw,ஏன் Brother என்கிட்ட நடிக்குறீங்க😒 | Bachelor Food Series | Ep - 06 | Vj Siddhu Vlogs,2025-06-15 04:30:08+00:00,PT18M23S,2021548,120717,789,1103.0,85,55
FAeP6-_0jTQ,நல்லாருந்த மனுஷன் இப்டி ஆய்ட்டாரே 😅🍜➡😬 | Bachelor Food Series | Ep - 05 | Vj Siddhu Vlogs,2025-06-13 09:30:07+00:00,PT20M3S,2134071,130485,836,1203.0,89,57
NR5wFN0U1hU,பல்லாவரம்-ல இப்படியொரு கடையா 😲 | Bachelor Food Series | Ep - 04 | Vj Siddhu Vlogs,2025-06-11 09:30:07+00:00,PT17M33S,2369931,139393,1058,1053.0,81,59
lC-Bdpdw7VM,கொத்து பரோட்டா கறி தோசைன்னு கலக்கும் குடும்பம்😋🥳 | Bachelor Food Series | Ep - 03 | Vj Siddhu Vlogs,2025-06-08 04:30:07+00:00,PT18M1S,2529408,160791,841,1081.0,99,62
RtZaUf0TZ4M,சீரகசம்பா Vs பாஸ்மதி|எது பெருசுன்னு நீங்களே சொல்லுங்க🙄🤔| Bachelor Food Series|Ep - 2|Vj Siddhu Vlogs,2025-06-06 09:45:28+00:00,PT19M47S,2492060,157366,1462,1187.0,100,64
D_yuW5wZ2Jk,கம்மி காசுல Taste-ஆ சாப்பிடலாமா🤩😋 | Bachelor Food Series | Ep-01 | Vj Siddhu Vlogs,2025-06-04 10:18:41+00:00,PT18M13S,2588853,188913,2715,1093.0,82,65
6e_qFqrWCJ0,Iniyan யாருன்னு நிரூபிச்சுட்டான்🥳🐶 | Vj Siddhu Vlogs,2025-06-01 04:30:07+00:00,PT20M22S,2749427,167599,1021,1222.0,52,69
gsUfXFfa1Zo,வீட்டு தோசையோட அருமை இப்பதான் புரியுது🥺 | Maldives Series | Ep - 04 | Vj Siddhu Vlogs,2025-05-30 09:30:07+00:00,PT19M24S,2627364,142890,849,1164.0,85,71
wiH7lg3LxZM,எல்லாம் ஒரு அளவு தான்😒 | Maldives Series | Ep - 03 | Vj Siddhu Vlogs,2025-05-28 09:30:07+00:00,PT17M,2722061,161582,1384,1020.0,68,73
VxJq7ZkGgPc,கடல் தண்ணி இனிக்குமா🤔 | Maldives Series | Ep - 02 | Vj Siddhu Vlogs,2025-05-25 04:30:07+00:00,PT15M57S,2839455,169758,1066,957.0,67,76
s3Ci3qj7-_w,மொத்த Flight-ம் நமக்கா 😱✈️ | Maldives Series | Ep-01 | Vj Siddhu Vlogs,2025-05-23 09:30:08+00:00,PT14M48S,3283683,184894,1340,888.0,70,78
Rk72E1wGRvA,Office-அ புதுசா  மாத்திட்டோம்🤩 | Vj Siddhu Vlogs,2025-05-21 09:30:08+00:00,PT20M10S,3004979,168527,781,1210.0,48,80
5c6_J24cYqY,Kerala Series Re-release Full Movie 🔥 | 4K | Vj Siddhu Vlogs,2025-05-18 04:30:07+00:00,PT4H5M59S,1954979,67868,534,14759.0,60,83
UpYOrdGWWtQ,எவ்ளோ பெரிய கடாய்😱 | Delhi Series | Ep - 11 | Vj Siddhu Vlogs,2025-05-16 09:30:08+00:00,PT10M53S,2373841,133770,908,653.0,61,85
lmHOYfJI1ZA,அம்மா பாசத்துல நம்மள மிஞ்சிருவான் போலையே👩‍👦🥹|  Delhi Series | Ep - 10 | Vj Siddhu Vlogs,2025-05-14 09:30:07+00:00,PT20M1S,2808418,157328,807,1201.0,87,87
QYjkbaPsngA,சும்மா இருந்தா காசு வருமா🤨 | Delhi Series | Ep - 09 | Vj Siddhu Vlogs,2025-05-11 04:30:32+00:00,PT20M54S,2431688,138262,1117,1254.0,69,90
PMbaMUWvrIw,எப்படி இப்படி கட்டுனாரு😱🤩 | Delhi Series | Ep - 08 | Vj Siddhu Vlogs,2025-05-09 09:30:07+00:00,PT20M4S,2722394,167913,1377,1204.0,68,92
VcC9P9Pncz4,என்னடா பெரிய வடக்கன் தெக்கன் எல்லாரும் ஒன்னு தான் டா🧡 | Delhi Series | Ep - 07 | Vj Siddhu Vlogs,2025-05-07 09:30:07+00:00,PT25M20S,2769504,158790,1506,1520.0,96,94
u6GfIjM-PCY,எனக்கு எதிரி வெளிய இல்லடா கூடவே தான் இருக்காங்க | Delhi Series | Ep - 06 | Vj Siddhu Vlogs,2025-05-05 09:30:07+00:00,PT22M41S,3011702,162062,757,1361.0,90,96
_fSgUNXDq78,இருந்தாலும் ஒரு நியாயம் வேணாமா da?😒🙁 | Delhi Series | EP - 05 | Vj Siddhu Vlogs,2025-05-04 04:30:07+00:00,PT18M54S,2931593,166583,857,1134.0,79,97
7XF1mZHJtQs,Vlog இல்ல படம் ✋🤚| Title Announcement | Vj Siddhu Vlogs,2025-05-02 09:30:03+00:00,PT4M24S,3064166,318750,11102,264.0,55,99
GfzsPSGOgNY,IPhone முதல் Branded Shoe வர கொட்டிக்கிடக்கு😱💥 | Delhi Series | Ep - 04 | Vj Siddhu Vlogs,2025-04-30 09:30:07+00:00,PT15M57S,3023996,150910,652,957.0,89,101
LXDpkV41eN4,Delhi Scam⚠️🤕 | Delhi Series | Ep - 03 | Vj Siddhu Vlogs,2025-04-28 09:30:07+00:00,PT13M43S,2659267,146716,1097,823.0,56,103
JRBzSIBjE4g,Friends-க்குள்ள மரியாதையா ?😂😏 | Delhi Series 02 | Vj Siddhu Vlogs,2025-04-27 04:30:07+00:00,PT19M49S,2873150,166048,918,1189.0,65,104
WhB8H7eD3ns,என்ன ஒரே பனிமூட்டமா இருக்கு🙄🫣| Delhi Series 01 | Vj Siddhu Vlogs,2025-04-25 09:30:07+00:00,PT15M59S,2916733,169902,1879,959.0,64,106
AOpTX6PRGV8,Happy Ending கிருக்குனு இருக்கு 🫡| Vj Siddhu Vlogs,2025-04-23 09:30:07+00:00,PT18M59S,2758020,180142,1074,1139.0,50,108
tN-6pCjlzCM,Office-ல Gossip பேசுறதும் நல்லாதான் இருக்கு | Vj Siddhu Vlogs,2025-04-21 13:00:07+00:00,PT26M48S,3134820,190000,1075,1608.0,61,109
bfNy4v-QJBc,Iniyan தைரியமாகிட்டாரு😂🐶 | Goa Series | Ep - 14 | Vj Siddhu Vlogs,2025-04-20 04:30:07+00:00,PT14M40S,2831153,168718,905,880.0,65,111
uNWombvK8i0,சொர்க்கம்-ன்னா இதுதான்🤩💚 | Goa Series | Ep - 13 | Vj Siddhu Vlogs,2025-04-18 09:30:07+00:00,PT11M32S,2729619,171340,822,692.0,65,113
ruVtORMxxHU,ஒருவழியா சமைச்சு முடிச்சுட்டோம்😂🤤 | Goa Series | Ep - 12 | Vj Siddhu Vlogs,2025-04-16 09:30:07+00:00,PT23M25S,3475442,180171,1282,1405.0,74,115
2RKE3sQOmRQ,வடக்கு நண்பர் கிட்ட மாட்டிகிட்டோம்😵‍💫 | Goa Series | Ep - 11 | Vj Siddhu Vlogs,2025-04-14 09:45:06+00:00,PT16M15S,2994557,170141,841,975.0,78,117
ALe4OeQ7QUA,Night Life In Goa🥳🤩 | Goa Series | Ep - 10 | Vj Siddhu Vlogs,2025-04-13 04:30:08+00:00,PT19M37S,3103371,183164,938,1177.0,60,118
W15tZrGEq0Q,இனியன் பாசக்கார பயலா இருக்கானே🐶❤️ | Goa Series | Ep - 09 | Vj Siddhu Vlogs,2025-04-11 09:30:07+00:00,PT12M59S,2877690,190540,1680,779.0,74,120
VaNszvM_bhI,இந்த கோவில் வேற மாறி இருக்கு🥳🔥 | Goa Series | Ep - 08 | Vj Siddhu Vlogs,2025-04-09 09:30:07+00:00,PT16M38S,2714988,176547,1147,998.0,71,122
F4DdBTOFpV4,On The Way-ல Pradeep-க்கு Surprise🥳🎉 | Goa Series | Ep - 07 | Vj Siddhu Vlogs,2025-04-07 09:30:07+00:00,PT15M22S,3046317,202493,1742,922.0,77,124
wF-EUkyl_B0,Rocky Bhai's Favorite Vada Shop😋 | Goa Series | Ep - 06 | Vj Siddhu Vlogs,2025-04-06 04:30:07+00:00,PT20M8S,3161877,176443,1306,1208.0,73,125
xqF5o5YfIoo,பயணம் எத நோக்கி போகுதுன்னே தெரியல🤔😂 | Goa Series | Ep - 05 | Vj Siddhu Vlogs,2025-04-04 10:00:07+00:00,PT22M10S,3576243,191287,1713,1330.0,76,126
EVhF0Lj57xw,Jack உடன் இணைந்த Rose😂🫂 | Goa Series | Ep - 04 | VJ Siddhu Vlogs,2025-04-02 09:30:07+00:00,PT21M5S,3799786,206902,1371,1265.0,64,129
T6NfqwoxQRA,Bangalore-ல இப்படியொரு இடமா 🫨 | Goa Series | Ep - 03 | VJ Siddhu Vlogs,2025-03-31 09:30:07+00:00,PT27M47S,4142526,222746,1169,1667.0,70,131
qssV6hyM8yQ,வாழ்ந்தா Iniyan மாதிரி தான் வாழனும்✨ 🐶 | Goa Series | Ep - 02 | VJ Siddhu Vlogs,2025-03-30 04:30:07+00:00,PT24M,4029963,236872,1644,1440.0,79,132
OlWHS5nh8Ns,Boys Trip Begins🥳🤙 | Goa Series | Ep 01 | Vj Siddhu Vlogs,2025-03-28 09:30:07+00:00,PT21M29S,4165906,234494,1589,1289.0,57,134
UlIwSBnBDrM,புது Office-க்கு பூஜை போட்டாச்சு🥳 | Vj Siddhu Vlogs,2025-03-26 09:30:07+00:00,PT18M15S,4211864,284740,3806,1095.0,51,136
81z8kDb1HS0,Street Dogs தான் கெத்து🐶🤩 | Vj Siddhu Vlogs,2025-03-24 09:30:06+00:00,PT16M51S,3438185,205290,1494,1011.0,43,138
4cUYRH64ZLc,இப்டி புலம்ப விட்டுட்டாங்களே😑 | NattupuraKalai Series | Ep - 10 | Vj Siddhu Vlogs,2025-03-23 04:30:06+00:00,PT16M44S,1334460,102158,806,1004.0,81,139
cJnFmwuF2fQ,பறையாட்டம் டயங்கரம்🎼 | NattupuraKalai Series | Ep - 09 | Vj Siddhu Vlogs,2025-03-21 10:00:08+00:00,PT22M55S,2248888,156882,1848,1375.0,72,140
pUFfrDgAbS4,இந்த கலை வேற மாறி இருக்கே!!😱 |  NattupuraKalai Series | Ep - 08 | Vj Siddhu Vlogs,2025-03-19 09:30:08+00:00,PT25M21S,3076587,202270,2247,1521.0,81,143
vrWnzeivrR4,இனியனுக்காக களத்துல இறங்கிட்டோம்😎😶| NattupuraKalai Series | Ep - 07 | Vj Siddhu Vlogs,2025-03-17 09:30:07+00:00,PT24M6S,3518181,221933,2209,1446.0,85,145
v4q6SNMM8nA,Hotel-ல இனியன்க்கு Allowed இல்லையா😱😞 | NattupuraKalai Series | Ep - 06 | Vj Siddhu Vlogs,2025-03-16 04:30:07+00:00,PT24M14S,3986437,261343,6331,1454.0,88,146
K1hwb4pfzcU,நாங்கெல்லாம் மாமா ஆகிட்டோம்🥳🤩 |  NattupuraKalai Series | Ep - 05 | Vj Siddhu Vlogs,2025-03-14 09:30:08+00:00,PT24M2S,3365887,216478,2979,1442.0,82,148
JY2kSW8O7ZA,தூத்துக்குடி கொத்தனார் 2.O🥳😂 | Vj Siddhu Vlogs,2025-03-12 09:30:07+00:00,PT45M44S,3984354,243560,3047,2744.0,46,150
eObC-1lAM-E,இந்தப் பாட்ட எதிர்பாக்கலையே🏹🤩 | NattupuraKalai Series | Ep - 04 | Vj Siddhu Vlogs,2025-03-10 09:30:07+00:00,PT26M1S,1923578,128126,978,1561.0,81,152
t0HaAXvTMP8,ஒரே ஆளா நின்னு கலக்கிருக்காரு  😱🔥 | NaatupuraKalai Series | Ep - 03 | Vj Siddhu Vlogs,2025-03-09 04:30:07+00:00,PT17M43S,2081039,135989,933,1063.0,85,153
k52e6cI636A,கடலுக்கு நடுவுல Glass Bridge-ஆ😳😱 | NattupuraKalai Series | Ep -02 | Vj  Siddhu Vlogs,2025-03-07 09:45:07+00:00,PT24M3S,2618076,157209,1275,1443.0,84,155
FQDa6jJpmdA,அற்புதமான காட்சி காத்திருக்கு Get Ready Guys😂💥| NattupuraKalai Series | Ep -01 | Vj  Siddhu Vlogs,2025-03-05 09:32:22+00:00,PT17M16S,2731975,175626,1828,1036.0,97,157
Q72jAsF3KvI,வாடா சாப்பிட்டு போடா😋💥| Office Samayal🥳| Vj Siddhu Vlogs,2025-03-03 09:30:07+00:00,PT23M7S,2729304,156046,1295,1387.0,56,159
6CrP2SV1gzM,அதுலாம் ஒரு காலம் முடிஞ்சது-ல🥺🤕 | Vandalur Zoo Series | Ep - 02 | Vj Siddhu Vlogs,2025-03-02 04:30:07+00:00,PT21M20S,2544960,148183,1653,1280.0,81,160
J3LVBwXRQpE,நம்ம Vandalur Zoo-ல இதெல்லாம் இருக்கா😱🫣 | Vandalur Zoo Series | Ep - 01 | Vj Siddhu Vlogs,2025-02-28 09:30:07+00:00,PT29M46S,3861897,191164,1301,1786.0,89,162
KtMEIVCWrno,என்னடா பெரிய Mall-Uh Spencer Plaza பாத்திருக்கையா?🏫💥 | Vj Siddhu Vlogs,2025-02-26 09:30:07+00:00,PT21M23S,3410523,206328,1596,1283.0,70,164
aBjnmhdDoV0,வீட்டுக்கு வெளிய ஆவி😱 எங்கடா போச்சு சாவி🧐 | Vj Siddhu Vlogs,2025-02-24 09:30:07+00:00,PT16M20S,3167972,200498,1645,980.0,59,166
-7tWhJzScqk,மொட்டமாடி Party பண்ணக்கூடாதா😳😱 | Vj Siddhu Vlogs,2025-02-23 04:30:07+00:00,PT16M26S,3552733,212937,1037,986.0,48,167
EFYF77LYv_g,வெக்கம் கலந்த பயம் - Siddhu's Reaction for FDFS🤩 | Vj Siddhu Vlogs,2025-02-21 12:30:07+00:00,PT11M16S,3177937,208056,2274,676.0,66,168
Vi2AicwDoRc,சும்மா கதற கதற கதற கதற கதற.... விடுறோம்🤣🤙 | மொட்டமாடி Party 🤙🏻| Vj Siddhu Vlogs,2025-02-19 09:30:07+00:00,PT49M28S,6943731,366325,4321,2968.0,79,171
aEjEoRY5d-A,Diet ஆவது Kiyet ஆவது🐟😱| Taste Of Delta Series | Ep - 07 | Vj Siddhu Vlogs,2025-02-17 10:15:07+00:00,PT17M1S,3000801,163914,1025,1021.0,73,172
0h7MTAiEelI,Taste Of Delta-ன்னா தெறிக்கும்🤤🔥 | Taste Of Delta Series | Ep - 06 | Vj Siddhu Vlogs,2025-02-16 04:30:08+00:00,PT26M11S,2763235,163161,1108,1571.0,84,174
